epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,1886.45,1.36991,3.65375,0.00459,0.36458,0.16898,0.12841,0.10323,1.39212,4.51025,0.0059,3.55368e-05,3.55368e-05,3.55368e-05
41,1938.54,1.29761,4.34952,0.0048,0.46886,0.12555,0.11741,0.09349,1.44868,4.61234,0.00662,3.2448e-05,3.2448e-05,3.2448e-05
42,1983.81,1.2963,4.24924,0.00473,0.29795,0.15821,0.11953,0.09704,1.44845,4.54023,0.0065,2.93592e-05,2.93592e-05,2.93592e-05
43,2028.08,1.23545,4.2149,0.00439,0.37887,0.16089,0.12279,0.09979,1.4423,4.50361,0.00645,2.62704e-05,2.62704e-05,2.62704e-05
44,2072.14,1.26199,4.16641,0.00444,0.40208,0.15289,0.12544,0.10226,1.44186,4.4722,0.00649,2.31816e-05,2.31816e-05,2.31816e-05
45,2117.43,1.28335,4.12625,0.00436,0.42914,0.14911,0.12656,0.10307,1.44088,4.46847,0.00646,2.00928e-05,2.00928e-05,2.00928e-05
46,2163.55,1.25025,4.11462,0.0043,0.40564,0.16073,0.12511,0.10142,1.4368,4.45189,0.00634,1.7004e-05,1.7004e-05,1.7004e-05
47,2209.88,1.27169,4.07055,0.00428,0.3583,0.172,0.12675,0.10274,1.44458,4.43839,0.00647,1.39152e-05,1.39152e-05,1.39152e-05
48,2255.37,1.2703,4.11624,0.00433,0.38717,0.16283,0.12529,0.10176,1.44057,4.4374,0.00641,1.08264e-05,1.08264e-05,1.08264e-05
49,2301.23,1.26493,4.06099,0.00436,0.41005,0.16863,0.126,0.1024,1.44012,4.41792,0.0064,7.7376e-06,7.7376e-06,7.7376e-06
50,2349.04,1.27465,4.08954,0.00421,0.38243,0.17065,0.12547,0.10198,1.43843,4.42555,0.00641,4.6488e-06,4.6488e-06,4.6488e-06
