epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,309.038,1.89713,2.00686,0.02287,0.49031,0.38999,0.38877,0.14735,2.26524,2.24822,0.03521,0.0014588,0.0014588,0.0014588
43,316.482,1.89439,1.93222,0.02273,0.49411,0.36486,0.37941,0.12852,2.21926,2.28815,0.0338,0.0014456,0.0014456,0.0014456
44,323.856,1.85298,2.00685,0.02462,0.53287,0.35135,0.34723,0.12469,2.19636,2.41625,0.03241,0.0014324,0.0014324,0.0014324
45,331.285,1.87092,2.00621,0.02225,0.45353,0.35946,0.29419,0.10685,2.2079,2.31277,0.034,0.0014192,0.0014192,0.0014192
46,338.685,1.86388,1.99952,0.02309,0.49608,0.45405,0.43648,0.16562,2.11752,2.00637,0.03249,0.001406,0.001406,0.001406
47,346.152,1.87231,2.01977,0.02311,0.51527,0.38649,0.38852,0.12954,2.29628,2.08663,0.03674,0.0013928,0.0013928,0.0013928
48,353.61,1.9519,2.0349,0.02323,0.54362,0.32973,0.35134,0.12724,2.17559,2.62779,0.03433,0.0013796,0.0013796,0.0013796
49,361.04,1.83879,1.86875,0.02062,0.48505,0.36486,0.36629,0.11935,2.21933,2.36434,0.03483,0.0013664,0.0013664,0.0013664
50,368.373,1.87018,1.87708,0.02261,0.55297,0.39449,0.414,0.16383,2.11489,2.19027,0.03096,0.0013532,0.0013532,0.0013532
51,375.718,1.84352,1.88816,0.02332,0.54133,0.40811,0.42791,0.1671,2.13594,1.95997,0.0324,0.00134,0.00134,0.00134
52,383.219,1.80852,1.86306,0.02269,0.63072,0.40623,0.44803,0.16888,2.17416,1.89172,0.033,0.0013268,0.0013268,0.0013268
53,391.014,1.80084,1.81421,0.02294,0.55785,0.36757,0.38204,0.13813,2.28053,2.14675,0.03585,0.0013136,0.0013136,0.0013136
54,398.387,1.86954,1.8799,0.02242,0.58081,0.37448,0.4255,0.16334,2.23288,1.90131,0.03407,0.0013004,0.0013004,0.0013004
55,405.774,1.87688,1.83623,0.023,0.58113,0.38919,0.44372,0.18583,2.03381,1.87399,0.02991,0.0012872,0.0012872,0.0012872
56,413.252,1.87885,1.85155,0.02289,0.57228,0.40541,0.40265,0.13748,2.22317,2.02093,0.0331,0.001274,0.001274,0.001274
