epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4924,1.49255,7.29836,0.00601,0,0,0,0,1.37497,7.73763,0.00592,5.13067e-05,5.13067e-05,5.13067e-05
2,114.28,1.46639,7.05209,0.00581,0.00996,0.1224,0.01118,0.00834,1.40954,7.39009,0.00618,0.000101261,0.000101261,0.000101261
3,161.755,1.4458,6.66868,0.0058,0.00743,0.22931,0.00981,0.00758,1.41818,7.06593,0.00611,0.000149157,0.000149157,0.000149157
4,208.491,1.44846,6.31824,0.00568,0.67121,0.02261,0.01915,0.01572,1.41114,6.70466,0.0061,0.000146734,0.000146734,0.000146734
5,255.931,1.46536,6.05242,0.00576,0.65073,0.0229,0.01981,0.01621,1.40401,6.47521,0.00589,0.000143645,0.000143645,0.000143645
6,303.43,1.47653,5.74795,0.00532,0.67556,0.03083,0.02325,0.01838,1.40401,6.34035,0.00595,0.000140556,0.000140556,0.000140556
7,351.383,1.47544,5.54484,0.00541,0.64007,0.04029,0.02991,0.02421,1.41935,6.20261,0.00608,0.000137467,0.000137467,0.000137467
8,396.677,1.43527,5.55245,0.00555,0.56971,0.03525,0.02779,0.02248,1.4075,6.11706,0.00596,0.000134378,0.000134378,0.000134378
9,441.845,1.42665,5.40332,0.0055,0.50752,0.04502,0.03697,0.03041,1.42359,5.9822,0.00601,0.00013129,0.00013129,0.00013129
10,489.584,1.41633,5.25978,0.0053,0.5318,0.0485,0.03611,0.02931,1.43404,5.86636,0.00616,0.000128201,0.000128201,0.000128201
11,537.256,1.4722,5.17437,0.00549,0.50156,0.05023,0.0415,0.03132,1.40458,5.78267,0.00577,0.000125112,0.000125112,0.000125112
12,583.632,1.45998,5.09797,0.00549,0.42705,0.06553,0.04493,0.03683,1.39725,5.71871,0.00586,0.000122023,0.000122023,0.000122023
13,631.309,1.40266,4.9447,0.0053,0.41516,0.05626,0.04583,0.03744,1.39385,5.6197,0.00593,0.000118934,0.000118934,0.000118934
14,678.337,1.43957,4.84906,0.00534,0.41717,0.06234,0.05078,0.0419,1.41211,5.50677,0.00599,0.000115846,0.000115846,0.000115846
15,725.228,1.4453,4.7912,0.00534,0.37113,0.07222,0.05367,0.04458,1.39686,5.44478,0.00579,0.000112757,0.000112757,0.000112757
16,775.591,1.4196,4.6409,0.00501,0.35875,0.08087,0.06359,0.05145,1.39482,5.37898,0.00583,0.000109668,0.000109668,0.000109668
17,821.576,1.43462,4.65757,0.00516,0.31928,0.0787,0.06393,0.05281,1.39233,5.30377,0.00574,0.000106579,0.000106579,0.000106579
18,866.991,1.44752,4.52471,0.00516,0.35491,0.08014,0.06643,0.05338,1.40249,5.265,0.00596,0.00010349,0.00010349,0.00010349
19,914.991,1.43223,4.51721,0.00501,0.32202,0.07799,0.0633,0.0515,1.42213,5.17426,0.00594,0.000100402,0.000100402,0.000100402
20,961.18,1.38027,4.46106,0.00501,0.28584,0.07789,0.06962,0.0581,1.41214,5.12991,0.00582,9.73128e-05,9.73128e-05,9.73128e-05
