epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1979.85,1.33387,2.4312,0.00437,0.2681,0.14157,0.1232,0.09663,1.42761,3.68907,0.0063,9.26796e-05,9.26796e-05,9.26796e-05
43,2026.82,1.33919,2.46541,0.00446,0.2447,0.16157,0.12286,0.09878,1.42824,3.65824,0.00605,9.11352e-05,9.11352e-05,9.11352e-05
44,2074.75,1.3535,2.44414,0.00445,0.26204,0.15307,0.11702,0.091,1.43202,3.66469,0.0062,8.95908e-05,8.95908e-05,8.95908e-05
45,2123.43,1.3452,2.42233,0.00456,0.26936,0.14445,0.11284,0.08798,1.41828,3.7218,0.00605,8.80464e-05,8.80464e-05,8.80464e-05
46,2170.48,1.35064,2.42194,0.00448,0.25106,0.15448,0.11114,0.08565,1.43018,3.66625,0.00623,8.6502e-05,8.6502e-05,8.6502e-05
47,2216.93,1.34928,2.36737,0.00429,0.2496,0.15868,0.10864,0.08474,1.40515,3.6893,0.00606,8.49576e-05,8.49576e-05,8.49576e-05
48,2263.11,1.29141,2.30465,0.0044,0.2507,0.14424,0.11393,0.08775,1.41503,3.64259,0.00615,8.34132e-05,8.34132e-05,8.34132e-05
49,2311.25,1.27458,2.35558,0.00427,0.32128,0.14125,0.11783,0.09171,1.41434,3.66726,0.00603,8.18688e-05,8.18688e-05,8.18688e-05
50,2357.7,1.331,2.31509,0.00452,0.3064,0.14568,0.11791,0.09353,1.40694,3.63023,0.00594,8.03244e-05,8.03244e-05,8.03244e-05
51,2404.86,1.35593,2.3443,0.00443,0.24332,0.16672,0.12451,0.09892,1.42205,3.61505,0.00609,7.878e-05,7.878e-05,7.878e-05
52,2450.62,1.30351,2.30825,0.00446,0.25456,0.15155,0.14122,0.11473,1.43014,3.57783,0.00611,7.72356e-05,7.72356e-05,7.72356e-05
53,2497.18,1.34593,2.35571,0.00451,0.28504,0.14938,0.13473,0.10956,1.4146,3.60842,0.00593,7.56912e-05,7.56912e-05,7.56912e-05
54,2543.12,1.33866,2.28236,0.00446,0.2695,0.15354,0.12856,0.10338,1.41597,3.57981,0.00589,7.41468e-05,7.41468e-05,7.41468e-05
55,2589.11,1.33943,2.28281,0.00449,0.26017,0.15645,0.13094,0.10718,1.41368,3.59472,0.00606,7.26024e-05,7.26024e-05,7.26024e-05
56,2636.13,1.31163,2.26677,0.00448,0.34767,0.14318,0.12527,0.10244,1.38578,3.60147,0.00576,7.1058e-05,7.1058e-05,7.1058e-05
57,2684.3,1.28584,2.24056,0.00429,0.26347,0.16505,0.13409,0.10842,1.41675,3.61209,0.006,6.95136e-05,6.95136e-05,6.95136e-05
58,2732.57,1.34962,2.26615,0.00445,0.25917,0.15089,0.12361,0.0997,1.40496,3.60238,0.00591,6.79692e-05,6.79692e-05,6.79692e-05
59,2779.43,1.30048,2.23095,0.00449,0.31167,0.15849,0.13312,0.10692,1.43559,3.5395,0.00612,6.64248e-05,6.64248e-05,6.64248e-05
60,2825.44,1.30831,2.24374,0.00432,0.30036,0.1639,0.13053,0.10405,1.41198,3.56161,0.00595,6.48804e-05,6.48804e-05,6.48804e-05
61,2872.62,1.34377,2.21691,0.00423,0.30983,0.15269,0.12903,0.10396,1.42833,3.57335,0.00603,6.3336e-05,6.3336e-05,6.3336e-05
62,2919.71,1.3134,2.18617,0.00455,0.293,0.14795,0.12488,0.1001,1.43016,3.62323,0.00617,6.17916e-05,6.17916e-05,6.17916e-05
63,2966.3,1.30919,2.20885,0.00435,0.292,0.15106,0.13091,0.1046,1.39903,3.61311,0.00601,6.02472e-05,6.02472e-05,6.02472e-05
64,3013.95,1.30223,2.19483,0.00429,0.30702,0.15126,0.12886,0.10305,1.403,3.606,0.00612,5.87028e-05,5.87028e-05,5.87028e-05
65,3060.44,1.30097,2.15363,0.00414,0.33338,0.13232,0.13766,0.11131,1.4039,3.59463,0.00589,5.71584e-05,5.71584e-05,5.71584e-05
