epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,283.082,1.79195,2.12365,0.02216,0.43966,0.3376,0.31549,0.12686,2.10478,2.38839,0.03992,0.00183764,0.00183764,0.00183764
43,289.048,1.76062,2.05609,0.02217,0.41122,0.30435,0.2912,0.10609,2.24538,2.44887,0.04189,0.00183368,0.00183368,0.00183368
44,294.992,1.80132,2.11007,0.02182,0.46161,0.31969,0.29987,0.10545,2.0982,2.49535,0.0386,0.00182972,0.00182972,0.00182972
45,300.84,1.80004,2.06357,0.02418,0.45936,0.38619,0.34407,0.12811,2.22631,2.42175,0.04169,0.00182576,0.00182576,0.00182576
46,306.885,1.78986,2.03083,0.02245,0.45438,0.34783,0.32052,0.11222,2.15854,2.32224,0.04096,0.0018218,0.0018218,0.0018218
47,312.946,1.75229,2.0692,0.02264,0.46268,0.36558,0.33199,0.12358,2.2023,2.32492,0.0389,0.00181784,0.00181784,0.00181784
48,318.755,1.76734,2.08659,0.02352,0.47945,0.42199,0.3908,0.15094,2.02611,2.27712,0.03632,0.00181388,0.00181388,0.00181388
49,324.661,1.78718,2.04006,0.02274,0.47834,0.40409,0.38392,0.14764,2.04599,2.41229,0.03683,0.00180992,0.00180992,0.00180992
50,330.607,1.75238,2.038,0.02223,0.54096,0.34527,0.36347,0.1301,2.21046,2.48406,0.0409,0.00180596,0.00180596,0.00180596
51,336.525,1.76376,2.01698,0.02264,0.41333,0.36061,0.32468,0.13001,2.15733,2.37181,0.04036,0.001802,0.001802,0.001802
52,342.533,1.79383,2.06759,0.02414,0.50155,0.38107,0.38072,0.14777,2.07901,2.28531,0.03815,0.00179804,0.00179804,0.00179804
53,348.531,1.78473,2.02182,0.02236,0.57181,0.34527,0.39576,0.17849,2.06101,2.00856,0.03691,0.00179408,0.00179408,0.00179408
54,354.541,1.80004,2.03884,0.02197,0.48539,0.39386,0.36379,0.15093,2.08165,2.09284,0.03854,0.00179012,0.00179012,0.00179012
55,360.402,1.79363,2.06478,0.02176,0.59101,0.38619,0.43154,0.19,1.99981,2.21779,0.03412,0.00178616,0.00178616,0.00178616
56,366.344,1.7893,2.01002,0.02132,0.4698,0.34673,0.34858,0.13466,2.11325,2.23977,0.03879,0.0017822,0.0017822,0.0017822
57,372.275,1.79735,2.0074,0.02283,0.51369,0.32481,0.34478,0.13181,2.11098,2.27768,0.03792,0.00177824,0.00177824,0.00177824
58,378.298,1.78231,2.01284,0.02273,0.52496,0.3734,0.40981,0.15966,2.21502,2.01309,0.04269,0.00177428,0.00177428,0.00177428
59,384.232,1.76391,1.93162,0.02238,0.54275,0.35038,0.37548,0.15451,2.21277,2.10394,0.04153,0.00177032,0.00177032,0.00177032
60,390.21,1.82659,1.93987,0.02117,0.47393,0.3555,0.35982,0.13562,2.27233,2.29871,0.04387,0.00176636,0.00176636,0.00176636
61,396.231,1.80888,2.01294,0.02346,0.47073,0.36829,0.34941,0.13962,2.06957,2.30954,0.03719,0.0017624,0.0017624,0.0017624
62,402.299,1.79605,2.01582,0.02116,0.45838,0.40921,0.39632,0.17691,1.98506,2.29301,0.03737,0.00175844,0.00175844,0.00175844
63,408.308,1.74286,1.94536,0.02153,0.58094,0.37084,0.40217,0.16942,1.97098,2.18596,0.03542,0.00175448,0.00175448,0.00175448
64,414.346,1.71816,1.90539,0.02187,0.56386,0.43315,0.44823,0.19962,1.91641,1.97056,0.03589,0.00175052,0.00175052,0.00175052
65,420.336,1.73146,1.93949,0.02169,0.53391,0.42199,0.43119,0.18761,2.13477,1.93665,0.04076,0.00174656,0.00174656,0.00174656
66,426.25,1.73553,1.94214,0.0216,0.57226,0.41688,0.43225,0.1916,1.88768,2.18802,0.03223,0.0017426,0.0017426,0.0017426
67,432.271,1.72933,1.9604,0.02141,0.59041,0.32737,0.37732,0.14956,2.04546,2.38236,0.03624,0.00173864,0.00173864,0.00173864
68,438.326,1.7698,1.91419,0.02208,0.51429,0.38107,0.38974,0.17407,2.02752,2.19288,0.03459,0.00173468,0.00173468,0.00173468
69,444.379,1.7973,1.97133,0.02316,0.48175,0.38875,0.40041,0.15134,2.06565,2.19421,0.03512,0.00173072,0.00173072,0.00173072
70,450.396,1.73802,1.94806,0.02329,0.55725,0.35806,0.40706,0.16973,2.0462,2.2353,0.03577,0.00172676,0.00172676,0.00172676
71,456.435,1.72271,1.96686,0.02219,0.48717,0.40153,0.39722,0.1714,2.25921,2.25406,0.04309,0.0017228,0.0017228,0.0017228
72,462.427,1.7202,1.89166,0.02279,0.57552,0.43223,0.42951,0.17875,2.0864,2.1502,0.03741,0.00171884,0.00171884,0.00171884
73,468.376,1.71348,1.84455,0.02255,0.50458,0.39642,0.38477,0.15176,2.14857,2.49494,0.03998,0.00171488,0.00171488,0.00171488
74,474.206,1.77034,1.90589,0.02217,0.54284,0.41944,0.40897,0.15563,2.12996,2.2272,0.03845,0.00171092,0.00171092,0.00171092
75,480.117,1.78957,1.9158,0.02275,0.54128,0.40409,0.41418,0.18309,2.05087,2.06511,0.03668,0.00170696,0.00170696,0.00170696
76,486.154,1.72599,1.86147,0.0214,0.59994,0.38619,0.42765,0.18333,1.92936,2.11778,0.03188,0.001703,0.001703,0.001703
77,492.059,1.74926,1.89548,0.02141,0.5842,0.43734,0.44947,0.19245,1.99465,1.96927,0.03609,0.00169904,0.00169904,0.00169904
78,498.127,1.7256,1.90468,0.02124,0.48115,0.39386,0.37236,0.14417,2.07239,2.24407,0.03593,0.00169508,0.00169508,0.00169508
79,504.05,1.72669,1.88295,0.02049,0.50934,0.41417,0.40338,0.17289,2.09849,2.16983,0.03693,0.00169112,0.00169112,0.00169112
80,510.118,1.76304,1.93729,0.02148,0.5289,0.39642,0.41259,0.18613,1.96571,2.13851,0.035,0.00168716,0.00168716,0.00168716
81,516.074,1.70046,1.83653,0.02221,0.56914,0.39898,0.39179,0.18119,1.89949,2.38531,0.03208,0.0016832,0.0016832,0.0016832
82,522.006,1.75847,1.8527,0.02142,0.51271,0.45013,0.44405,0.20344,1.95955,2.17694,0.0326,0.00167924,0.00167924,0.00167924
83,528.08,1.75431,1.8422,0.02136,0.5153,0.41688,0.40623,0.17064,2.07186,2.19812,0.03762,0.00167528,0.00167528,0.00167528
84,534.003,1.69893,1.78423,0.02235,0.51041,0.39642,0.37891,0.16524,2.13925,2.16826,0.03979,0.00167132,0.00167132,0.00167132
85,539.976,1.75667,1.84319,0.02246,0.65403,0.45524,0.48694,0.21279,2.10387,1.93802,0.0394,0.00166736,0.00166736,0.00166736
86,545.952,1.74741,1.85418,0.02001,0.50641,0.42455,0.41207,0.17834,2.00952,2.22966,0.03586,0.0016634,0.0016634,0.0016634
87,551.875,1.71096,1.81053,0.02155,0.5735,0.37084,0.40287,0.17543,1.99599,2.12555,0.03594,0.00165944,0.00165944,0.00165944
88,557.793,1.70381,1.77511,0.02338,0.49902,0.43478,0.42569,0.17822,2.0749,2.02903,0.03881,0.00165548,0.00165548,0.00165548
89,563.822,1.71692,1.73252,0.0221,0.60977,0.41163,0.43482,0.19665,2.02877,2.1373,0.03786,0.00165152,0.00165152,0.00165152
90,569.745,1.66496,1.71329,0.02139,0.56095,0.40921,0.42754,0.18403,2.13099,2.09411,0.04072,0.00164756,0.00164756,0.00164756
91,575.732,1.7138,1.72466,0.0216,0.5715,0.40921,0.4238,0.17029,2.15395,2.31217,0.03944,0.0016436,0.0016436,0.0016436
92,581.637,1.69315,1.75186,0.02113,0.54045,0.37852,0.41359,0.18212,2.14177,2.00896,0.03874,0.00163964,0.00163964,0.00163964
93,587.538,1.70028,1.7539,0.02224,0.49094,0.47059,0.45146,0.19274,2.08394,2.0822,0.03737,0.00163568,0.00163568,0.00163568
94,593.672,1.71004,1.74281,0.02234,0.52,0.40409,0.38949,0.17551,2.01224,2.30825,0.03504,0.00163172,0.00163172,0.00163172
95,599.57,1.66772,1.77571,0.0213,0.59755,0.3913,0.43904,0.17271,2.187,1.99717,0.04208,0.00162776,0.00162776,0.00162776
96,605.561,1.70099,1.73932,0.02062,0.52446,0.44002,0.41059,0.1734,2.13572,2.24429,0.03864,0.0016238,0.0016238,0.0016238
97,611.509,1.74229,1.76293,0.02285,0.59019,0.42711,0.46796,0.22185,2.01038,1.81901,0.03563,0.00161984,0.00161984,0.00161984
98,617.501,1.70014,1.78779,0.02115,0.67734,0.40409,0.49027,0.23005,2.06863,1.86991,0.03732,0.00161588,0.00161588,0.00161588
99,623.59,1.69481,1.77556,0.02191,0.63846,0.44246,0.4703,0.2098,2.08505,1.98982,0.038,0.00161192,0.00161192,0.00161192
100,629.571,1.73181,1.7318,0.02145,0.54941,0.43478,0.44298,0.19559,2.08787,1.86198,0.03739,0.00160796,0.00160796,0.00160796
101,635.56,1.67084,1.69839,0.021,0.61633,0.46292,0.4775,0.21738,2.1489,1.91576,0.0391,0.001604,0.001604,0.001604
102,641.443,1.68015,1.74832,0.02149,0.62445,0.43734,0.46858,0.19945,2.13165,1.9706,0.03905,0.00160004,0.00160004,0.00160004
